product_id,product_name,alias_id
p-00002,Strictly Roses,User-c49d6fd0-4282-4963-a271-b4dd922ac37d
p-00001,Mixed Bouquet,User-c49d6fd0-4282-4963-a271-b4dd922ac37d
p-00001,Mixed Bouquet,User-6c3f3257-870e-4b65-8e28-c7f17438d0be
p-00001,Mixed Bouquet,User-5614b542-7a3d-4d27-85e6-9004a99d40c3
p-00006,Red Wine,User-ff07107a-2b88-4f99-9531-023bd42b7029
p-00002,Strictly Roses,User-3007ba28-7e99-424d-876d-b4a3c5742ee0
p-00001,Mixed Bouquet,User-615388e1-d52c-4cfb-acd3-130de8cdf817
p-00001,Mixed Bouquet,User-5b99eaee-c048-432e-9a76-18f298cea488
p-00002,Strictly Roses,User-8969f9d7-5e09-48fd-8ef8-6261b1195bee
p-00001,Mixed Bouquet,User-e3f6b2ed-19ff-463a-ab53-6ae13f641396
p-00001,Mixed Bouquet,User-1f4529c3-0329-403d-95b7-a79e7f5d8b68
p-00001,Mixed Bouquet,User-c52b6345-bbd3-43c1-b953-f2f31b6afffc
p-00001,Mixed Bouquet,User-cf005dfe-bf76-4990-acc9-0f48d03e60e0
p-00006,Red Wine,User-9ed3114d-44a6-4dd8-971b-7ac39f922d6e
p-00009,Champagne,User-fdf3c9a9-03b6-484d-9d3f-a1b8a62fed94
p-00007,White Wine,User-64e10ca6-bddf-4359-862d-9878562d4d30
p-00009,Champagne,User-c49d6fd0-4282-4963-a271-b4dd922ac37d
p-00013,Lamborghini Champagne,User-bbeb9b41-38af-4f22-8265-2b3b19ec6478
p-00001,Mixed Bouquet,User-00bfecda-7872-411d-ba13-b7fe9a5a3dd4
p-00001,Mixed Bouquet,User-f4f2bb73-6ffd-4466-a818-199c81a54047
p-00001,Mixed Bouquet,User-1d885f28-bbb8-41c0-9412-045f76148fc5
p-00001,Mixed Bouquet,User-9ed3114d-44a6-4dd8-971b-7ac39f922d6e
p-00002,Strictly Roses,User-095b7712-d18d-4fe4-b2c0-62637401c714
p-00002,Strictly Roses,User-fdf9a12c-6e5c-45cb-aa89-a1b9a1b4adc5
p-00007,White Wine,User-dfdc4f86-72c6-4ea9-8acd-c61c818b4e29
p-00001,Mixed Bouquet,User-00bfecda-7872-411d-ba13-b7fe9a5a3dd4
p-00001,Mixed Bouquet,User-832e1b37-2bcb-404c-a07c-bee0ae2cd5f6
p-00001,Mixed Bouquet,User-7393ec4b-2260-4b8c-b86e-8fc12c814bf3
p-00001,Mixed Bouquet,User-7393ec4b-2260-4b8c-b86e-8fc12c814bf3
p-00006,Red Wine,User-bab28913-3e07-46be-8d7f-55b73bd04dc9
p-00002,Strictly Roses,User-00bfecda-7872-411d-ba13-b7fe9a5a3dd4
p-00002,Strictly Roses,User-00bfecda-7872-411d-ba13-b7fe9a5a3dd4
p-00002,Strictly Roses,User-00bfecda-7872-411d-ba13-b7fe9a5a3dd4
p-00002,Strictly Roses,User-00bfecda-7872-411d-ba13-b7fe9a5a3dd4
p-00002,Strictly Roses,User-00bfecda-7872-411d-ba13-b7fe9a5a3dd4
p-00002,Strictly Roses,User-00bfecda-7872-411d-ba13-b7fe9a5a3dd4
p-00002,Strictly Roses,User-07b77795-1a75-48b1-8321-b344ae62baac
p-00002,Strictly Roses,User-85e5b302-b2ee-4d7f-9c83-2a70737a2ab1
p-00002,Strictly Roses,User-927dff81-b1f6-4b4d-8003-d017508224c8
